Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemycircularvirus,Gemycircularvirus miniti2,Genomoviridae sp. ctce776,,MK032701,Complete genome,
Gemycircularvirus,Gemycircularvirus miniti3,Genomoviridae sp. ctbh806,,MK032712,Complete genome,
Gemycircularvirus,Gemycircularvirus miniti4,Genomoviridae sp. ctjb817,,MK032709,Complete genome,
Gemycircularvirus,Gemycircularvirus minti6,Genomoviridae sp. ctcj270,,MH617534,Complete genome,
Gemycircularvirus,Gemycircularvirus mocha1,Momordica charantia associated gemycircularvirus,Br1,MH047857,Complete genome,
Gemycircularvirus,Gemycircularvirus monas1,mongoose associated gemycircularvirus 1,478d,KP263547,Complete genome,MGCV1
Gemycircularvirus,Gemycircularvirus mosqi1,mosquito associated gemycircularvirus 1,G,HQ335086,Complete genome,MoGCV1
Gemycircularvirus,Gemycircularvirus mouti1,Genomoviridae sp. ctbd78,,MK032728,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti2,Genomoviridae sp. ctba76,,MK032755,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti3,Genomoviridae sp. ctgb66,,MK032715,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti4,Genomoviridae sp. ctda73,,MK032719,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti5,Genomoviridae sp. ctjh74,,MK032753,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti6,Genomoviridae sp. cted72,,MK032735,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti7,Genomoviridae sp. ctdb80,,MK032738,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti8,Genomoviridae sp. ctji71,,MK032752,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti9,Genomoviridae sp. ctca70,,MK032714,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti10,Genomoviridae sp. ctbf84,,MK032705,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti11,Genomoviridae sp. ctjj82,,MK032718,Complete genome,
Gemycircularvirus,Gemycircularvirus mouti12,Genomoviridae sp. ctbh39,,MK032702,Complete genome,
Gemycircularvirus,Gemycircularvirus odona1,odonata associated gemycircularvirus 1,US-260BC-12,KM598385,Complete genome,OGCV1
Gemycircularvirus,Gemycircularvirus odona2,odonata associated gemycircularvirus 2,US-1642KW-12,KM598387,Complete genome,OGCV2
Gemycircularvirus,Gemycircularvirus oltre1,Olive associated gemycircularvirus 1,L1,MH444690,Complete genome,
Gemycircularvirus,Gemycircularvirus opunt1,plant associated genomovirus 25,EU1_SP897,MK947372,Complete genome,
Gemycircularvirus,Gemycircularvirus oxcor1,Oxalis corniculata genomoviridae,pt015-gen-1,MN823668,Complete genome,
Gemycircularvirus,Gemycircularvirus pleca1,Gemycircularvirus sp. BS50,Hun/2013,KY302866,Complete genome,
Gemycircularvirus,Gemycircularvirus poass1,poaceae associated gemycircularvirus 1,TO_STO14-29204_2014,KT253577,Complete genome,PGCV1
Gemycircularvirus,Gemycircularvirus porci1,porcine associated gemycircularvirus 1,49_Fec80061_pig,KT862250,Complete genome,PoGCV1
Gemycircularvirus,Gemycircularvirus porci2,porcine associated gemycircularvirus 2,as5,KF371640,Complete genome,PoGCV2
Gemycircularvirus,Gemycircularvirus ptero1,pteropus associated gemycircularvirus 1,Tbat_45285,KT732804,Complete genome,PtGCV1
Gemycircularvirus,Gemycircularvirus ptero2,pteropus associated gemycircularvirus 2,Tbat_103791,KT732792,Complete genome,PtGCV2
Gemycircularvirus,Gemycircularvirus ptero3,pteropus associated gemycircularvirus 3,Tbat_103852,KT732797,Complete genome,PtGCV3
Gemycircularvirus,Gemycircularvirus ptero4,pteropus associated gemycircularvirus 4,Tbat_H_103806,KT732814,Complete genome,PtGCV4
Gemycircularvirus,Gemycircularvirus ptero5,pteropus associated gemycircularvirus 5,Tbat_12377,KT732801,Complete genome,PtGCV5
Gemycircularvirus,Gemycircularvirus ptero6,pteropus associated gemycircularvirus 6,Tbat_103951,KT732803,Complete genome,PtGCV6
Gemycircularvirus,Gemycircularvirus ptero7,pteropus associated gemycircularvirus 7,Tbat_A_103746,KT732807,Complete genome,PtGCV7
Gemycircularvirus,Gemycircularvirus ptero8,pteropus associated gemycircularvirus 8,Tbat_31579,KT732806,Complete genome,PtGCV8
Gemycircularvirus,Gemycircularvirus ptero9,pteropus associated gemycircularvirus 9,Tbat_21383,KT732795,Complete genome,PtGCV9
Gemycircularvirus,Gemycircularvirus ptero10,pteropus associated gemycircularvirus 10,Tbat_H_103958,KT732794,Complete genome,PtGCV10
Gemycircularvirus,Gemycircularvirus raski1,Genomoviridae sp. ctbb31,,MK032754,Complete genome,
Gemycircularvirus,Gemycircularvirus ratas1,rat associated gemycircularvirus 1,Ch-zjrat-01,KR912221,Complete genome,RGCV1
Gemycircularvirus,Gemycircularvirus rebac1,Northern red-backed vole stool-associated gemycircularvirus 110,MR-110,MK738141,Complete genome,
Gemycircularvirus,Gemycircularvirus recro1,Gemycircularvirus sp. yc-18,,KY312557,Complete genome,
Gemycircularvirus,Gemycircularvirus sarpe1,plant associated genomovirus 17,D90_GP5,MH939397,Complete genome,
Gemycircularvirus,Gemycircularvirus sclero1,sclerotinia gemycircularvirus 1,,GQ365709,Complete genome,ScGCV1
Gemycircularvirus,Gemycircularvirus sewopo1,sewage derived gemycircularvirus 1,BS3917,KJ547638,Complete genome,SeGCV1
Gemycircularvirus,Gemycircularvirus sewopo2,sewage derived gemycircularvirus 2,BS4117,KJ547641,Complete genome,SeGCV2
Gemycircularvirus,Gemycircularvirus sewopo3,sewage derived gemycircularvirus 3,BS4014,KJ547636,Complete genome,SeGCV3
Gemycircularvirus,Gemycircularvirus sewopo4,sewage derived gemycircularvirus 4,BS3972,KJ547640,Complete genome,SeGCV4
Gemycircularvirus,Gemycircularvirus sewopo5,sewage derived gemycircularvirus 5,BS3970,KJ547639,Complete genome,SeGCV5
Gemycircularvirus,Gemycircularvirus sheas1,sheep associated gemycircularvirus 1,47_Fec80064_sheep,KT862249,Complete genome,ShGCV1
Gemycircularvirus,Gemycircularvirus siedo1,Sierra dome spider associated circular virus 1,BC_I1655A_H11,MH545510,Complete genome,
