Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Betahypovirus,Betahypovirus setosphaeriae,Setosphaeria turcica hypovirus 1 strain StHv128A,,MK279474,Coding-complete genome,StHV1
Betahypovirus,Betahypovirus sinensis,Botrytis cinerea hypovirus 1,HBtom-372,MG554632,Complete genome,BcHV1
Betahypovirus,Betahypovirus trichodermae,Trichoderma harzianum hypovirus 1,T-70,MN172262,Complete genome,ThHV1
Betahypovirus,Betahypovirus valsae,Valsa ceratosperma hypovirus 1,MVC86,AB690372,Complete genome,VcHV1
Deltahypovirus,Deltahypovirus sinicum,Beihai hypo-like virus 1,BHZC36965,KX883006,Coding-complete genome,BH-LV1
Deltahypovirus,Deltahypovirus sipunculidi,Beihai sipunculid worm virus 6,BHNXC41400,KX883005,Coding-complete genome,BHSWV6
Epsilonhypovirus,Epsilonhypovirus agarici,Agaricus bisporus virus 2 strain C19-C1,3,KY357507,Partial genome (non-compliant),AbV2
Epsilonhypovirus,Epsilonhypovirus entoleucae,Entoleuca hypovirus 1,97-14,MF536690,Complete genome,EnHV1
Epsilonhypovirus,Epsilonhypovirus entoleucae,Rosellinia necatrix hypovirus 2,Rn118-8,LC333733,Coding-complete genome,RnHV2
Epsilonhypovirus,Epsilonhypovirus japonicum,Fusarium poae hypovirus 1,MAFF 240374,LC150612,Coding-complete genome,FpHV1
Epsilonhypovirus,Epsilonhypovirus japonicum,Fusarium graminearum hypovirus 2,JS16,KP208178,Complete genome,FgHV2
Epsilonhypovirus,Epsilonhypovirus roselliniae,Rosellinia necatrix hypovirus 1 strain Rn-Ca,,LC318482,Complete genome,RnHV1
Epsilonhypovirus,Epsilonhypovirus sclerotiniae,Sclerotinia homoeocarpa hypovirus 1 strain ShHvLT11,,MK279473,Coding-complete genome,ShHV1
Epsilonhypovirus,Epsilonhypovirus sinicum,Fusarium langsethiae hypovirus 1 isolate FlHV1/AH32,,KY120321,Complete genome,FlHV1
Etahypovirus,Etahypovirus sclerotii,Sclerotium rolfsii hypovirus 8,BLH-1-3,MH766503,Coding-complete genome,SrHV8
Gammahypovirus,Gammahypovirus atheliae,Sclerotium rolfsii hypovirus 4 strain BLH-19,,MH766499,Coding-complete genome,SrHV4
Gammahypovirus,Gammahypovirus meridionalis,Sclerotium rolfsii hypovirus 5 strain BLH-1-20,,MH766500,Coding-complete genome,SrHV5
Gammahypovirus,Gammahypovirus sclerotii,Sclerotium rolfsii hypovirus 2 strain BLH-1-17,,MH766497,Coding-complete genome,SrHV2
Gammahypovirus,Gammahypovirus sinensis,Sclerotium rolfsii hypovirus 3 strain BLH-18,,MH766498,Coding-complete genome,SrHV3
Gammahypovirus,Gammahypovirus uredi,Sclerotium rolfsii hypovirus 7 strain BLH-1-2,,MH766502,Coding-complete genome,SrHV7
Thetahypovirus,Thetahypovirus botrytidis,Botrytis cinerea hypovirus 4,BCS17_DN134,MN617171,Coding-complete genome,BcHV4
Thetahypovirus,Thetahypovirus rhizoctoniae,Rhizoctonia solani hypovirus 1,BR20,MK558259,Coding-complete genome,RsHV1
Thetahypovirus,Thetahypovirus sclerotii,Sclerotium rolfsii hypovirus 1,BLH-1,MH037014,Complete genome,SrHV1
